Código;Nombre;Sección;Denominación de Origen;Nota de cata;Fuente
00129254;VINO ALBARIÑO C.ALBAREI 6/75CL;02-11 BEBIDAS;D.O. Rías Baixas;Albariño 100%. Amarillo dorado con reflejos verdosos. En nariz, intensidad media-alta con aromas florales y frutas blancas, limpio y elegante. Boca fresca, amplia, redonda y con marcada persistencia aromática.;Adega Condes de Albarei
00206821;V.ALBARIÑO MARTIN CODAX 6/75CL;02-11 BEBIDAS;D.O. Rías Baixas;"Albariño 100%. Amarillo limón con reflejos verdosos, limpio y brillante. Nariz de intensidad media con cítricos maduros (lima, mandarina), notas florales (azahar, espino blanco) y fondo herbáceo. Boca envolvente, fresca y equilibrada; retronasal de fruta cítrica.";Bodegas Martín Códax
00845842;VINO ALBARIÑO SANTIAGO RUIZ 6/75;02-11 BEBIDAS;D.O. Rías Baixas;Coupage de O Rosal (albariño mayoritario con loureiro, caíño blanco, treixadura y godello). Amarillo pajizo con reflejos verdosos. Nariz intensa y compleja: fruta blanca y cítricos con toques balsámicos, anisados y minerales. Boca con cuerpo, entrada golosa, fresca y de final largo.;Bodegas Santiago Ruiz
00963819;ALBARIÑO RIAS BAIXAS VIONTA 6/75;02-11 BEBIDAS;D.O. Rías Baixas;"Albariño 100% (crianza sobre lías). Amarillo pajizo brillante con reflejos verdosos. Nariz frutal con notas tropicales: manzana verde, plátano y melón. Boca de entrada suave, acidez agradable y frutas maduras (melocotón); postgusto largo, aromático y ligeramente amargo, típico de la variedad.";Bodegas Vionta
01849777;V.ALBARIÑO SEÑORIO SOBRAL 6/75CL;02-11 BEBIDAS;D.O. Rías Baixas;Albariño 100% (subzona O Condado, Salvaterra do Miño). Oro pálido con ligera aguja. Aroma intenso y penetrante de fruta de verano y cítricos, con fondo de fruta blanca madura y hierbas (laurel). Boca fresca y suave, muy proporcional, con retrogusto amplio y de variados matices.;Bodega Señorío de Sobral
02155547;VINO D.O. RIAS BAIXAS ENXEBRE 6/;02-11 BEBIDAS;D.O. Rías Baixas;Albariño 100% elaborado por maceración carbónica. Amarillo dorado con reflejos verdosos. Nariz de buena intensidad, aromas afrutados de manzana y melocotón sobre un fondo de flores blancas. Boca fresca, glicérica, con cuerpo y final ligeramente amargo que le aporta personalidad.;Adega Condes de Albarei
03053097;V.ALBARIÑO ABADIA S.CAMPIO 6/75C;02-11 BEBIDAS;D.O. Rías Baixas;Albariño 100% (subzona O Rosal, crianza sobre lías). Amarillo pálido. Nariz de cítricos maduros (pomelo, limón), fruta tropical y melocotón con toques florales. Boca vibrante y cremosa por la crianza sobre lías, acidez fresca y final largo.;Bodegas Terras Gauda
06371116;VINO ALBARIÑO P.SERANTELLOS 6/75;02-11 BEBIDAS;D.O. Rías Baixas;"Albariño 100% (Val do Salnés; elaborado por Condes de Albarei). Amarillo pajizo con reflejos verdosos, limpio y brillante. Nariz de intensidad media con aromas florales, frutas blancas y toques cítricos/herbáceos. Boca fresca, ligeramente ácida, con final agradable y persistente.";Bodega Condes de Albarei
07159338;VINO D.O RIAS BAIXAS VIÑA ALMEIR;02-11 BEBIDAS;D.O. Rías Baixas;Albariño (Rectoral do Umia - Bodegas Gallegas). Amarillo claro con reflejos verdosos. Aroma ligero de fruta blanca, cítricos y un fondo salino/mineral. Boca ácida y refrescante, con toque marino que aporta complejidad.;Rectoral do Umia (Bodegas Gallegas)
11673431;ALBARIÑO SEÑ.RUBIOS R.BAIXAS 6/7;02-11 BEBIDAS;D.O. Rías Baixas;Albariño 100% (subzona O Condado do Tea, Arbo). Floral, frutal y fresco, de alta intensidad con notas frutales y cítricas. Potente, sedoso y glicérico, con muy buena acidez.;Bodega Señorío de Rubiós
