id ;código;nombre;categoría;subcategoría;variante;origen;trazabilidad;formato;peso_aprox;descripción;imagen;destacado
;15983117;NO QUIERO PEDIDO CARNE;;;;;;;;;;
;16902348;NO TENGO ARTIC.PARA DEVOLUCION;;;;;;;;;;
;22516371;FILETE TIERNO TERNERA GALLEGA;;;;;;;;;;
;22516397;FILETE EXTRA TERNERA GALLEGA;;;;;;;;;;
;22516405;PICAÑA TERNERA GALLEGA;;;;;;;;;;
;22516462;SOLOMILLO TERNERA GALLEGA;;;;;;;;;;
;22516520;SOLOMILLO VACIO TERNERA GALLEGA;;;;;;;;;;
;23398811;TERNERA ESCALOPIN 90GR/55UDS/C5K;;;;;;;;;;
;23398829;TERN FILETE BABILLA 160-200GR/30;;;;;;;;;;
;23398860;VACUNO DESHILACHADO;;;;;;;;;;
;23398910;1/2 LOMO (BAJO S/SOLOMILLO) T.G.;;;;;;;;;;
;23418783;CROCA TERNERA 12 MESES;;;;;;;;;;
;24030967;1/2 CANAL TERNERA VACIO;;;;;;;;;;
;90074303;CROCA TERNERA 12 MESES CONG C/20;;;;;;;;;;
;90076025;(V) TERN FILETE 1ª 120 GRS C/5KG;;;;;;;;;;
;90077072;(V) FILETE BABILLA 130-150GR/36U;;;;;;;;;;
;90079024;(V) TERN FILETE BABILLA 150-170G;;;;;;;;;;
;90081538;(V) FILETE TAPA 130-150GR/36UDS/;;;;;;;;;;
;90083003;(V) FILETE TAPA 160-200GR/30UDS/;;;;;;;;;;
;22516785;ENTRECOT AGUJA TERNERA GALLEGA;;;;;;;;;;
;22516868;CHULETA TERNERA GALLEGA;;;;;;;;;;
;23398886;TERN ENTRECOT LOMO BAJO 180-200G;;;;;;;;;;
;23419104;ENTRECOT BAJO TER 12 MESES;;;;;;;;;;
;26147900;LOMO ALTO C/H TERNERA CONG C/2KG;;;;;;;;;;
;26147918;LOMO BAJO S/H TERNERA CONG C/16K;;;;;;;;;;
;21730551;RABOS SALADOS GRANEL FAMILIA;;;;;;;;;;
;21735857;AGUJA TERN S/H 12 MESES;;;;;;;;;;
;21735865;MAGRO DE VACA EXTRA R1;;;;;;;;;;
;21735873;BABILLA TERNERA 12 MESES;;;;;;;;;;
;21735881;CONTRA TERNERA 12 MESES;;;;;;;;;;
;21735907;LOMO VACA C/ SOLOM +30K A;;;;;;;;;;
;21735915;TAPA TERNERA 12 MESES.;;;;;;;;;;
;21735964;MORCILLO DELANTERO TERNERA 12;;;;;;;;;;
;21735972;REDONDO TERN 12 MESES SKR;;;;;;;;;;
;21735980;LLANA TERN 12 MESES (CAÑON);;;;;;;;;;
;21736210;CADERA TERNERA GALLEGA;;;;;;;;;;
;21736400;REDONDO DE TERNERA GALLEGA VACIO;;;;;;;;;;
;21736434;CENTRO ESPALDILLA 12 MESES SKR;;;;;;;;;;
;21736442;ESPALDA TERNERA 12 MESES;;;;;;;;;;
;21736467;LLANA DE TERNERA GALLEGA VACIO;;;;;;;;;;
;21736483;AGUJA C/H TERNERA 12 MESES;;;;;;;;;;
;22516942;ESTOFADO TERNERA GALLEGA;;;;;;;;;;
;22517049;ASAR-GUISAR TERNERA GALLEGA;;;;;;;;;;
;22517098;CHURRASCO TERNERA GALLEGA;;;;;;;;;;
;23398902;TERN FILETE TAPA 160-200GR/30UDS;;;;;;;;;;
;23419047;TERNERA RABO CORTADO C/5 KGS;;;;;;;;;;
;23419112;TERNERA MORCILLO TROZOS C/5KG;;;;;;;;;;
;23419120;FALDA ENTERA O CALDEIRO;;;;;;;;;;
;23419724;(V) LENGUA VACUNO CONG;;;;;;;;;;
;90062238;CENTRO DE FALDA T.G. VACIO;;;;;;;;;;
;90066371;AGUJA S/HUESO TERN R.;;;;;;;;;;
;90075141;ESTOFADO DE AGUJA DE CERDO 2X2 C;;;;;;;;;;
;90084001;TERNERA MORCILLO ENTERO C/5KGS;;;;;;;;;;
;22370977;CADERA AÑOJO SIN RABILLO C/22K;;;;;;;;;;
;24172751;CONTRA AÑOJO S/PICAÑA EL POZO 8,;;;;;;;;;;
;24452690;LLANA AÑOJO ANGUS VACIO C/3;;;;;;;;;;
;25647801;PICANHA ANGUS VACIO C/6 VERGARA;;;;;;;;;;
;25647827;PRESA ANGUS VACIO C/3 VERGARA;;;;;;;;;;
;23154057;ENTRECOT ANGUS VACIO;;;;;;;;;;
;23154081;COTE DE BOEUF ANGUS;;;;;;;;;;
;14202543;ESTOFADO VACUNO;;;;;;;;;;
;23398944;RABO DE VACA CONGELADO;;;;;;;;;;
;10907467;CHULETA VACA ENVASADA VACIO;;;;;;;;;;
;12201430;SOLOMILLO VACA TROZO VACIO;;;;;;;;;;
;21726591;(V) SOLOMILLO VACA CONG 2,5 KG;;;;;;;;;;
;21726609;ENTRECOT VACA LOMO BAJO 1/2 PIEZA;;;;;;;;;;
;21726740;LOMO VACA C/ SOLOM +30K A;;;;;;;;;;
;21726757;ENTRECOT VACA LOMO BAJO +8KGS;;;;;;;;;;
;23121270;ENTRECOT VACA LB SELEC, KG;;;;;;;;;;
;23121585;MEDALLON SOLOMILLO VACA SELEC;;;;;;;;;;
;23121593;PUNTAS SOLOMILLO VACA SELEC;;;;;;;;;;
;23398951;RABO CORTADO C;;;;;;;;;;
;23398969;CHULETA AL CORTE DE VACA IMPORTA;;;;;;;;;;
;90051936;CHULETERO VACA HALAL;;;;;;;;;;
;90074292;LOMO BAJO CONG 4PZ C/20KG;;;;;;;;;;
